plastic,concentration,time,Healthy,Stressed,Crenated,Dead,Total
PE,1-10,15,58,13,1,599,671
PE,1-10,3,846,459,51,75,1431
PE,1-20,15,577,85,47,593,1302
PE,1-20,3,799,680,103,18,1600
PE,1-200,15,592,240,44,387,1263
PE,1-200,3,732,793,89,15,1629
PE,1-50,15,600,131,35,452,1218
PE,1-50,3,772,703,77,15,1567
PE,control,15,803,216,50,257,1326
PE,control,3,1069,800,92,8,1969
PP,1-10,15,18,8,8,621,655
PP,1-10,3,1451,402,67,52,1972
PP,1-20,15,294,42,11,575,922
PP,1-20,3,1008,761,112,9,1890
PP,1-200,15,620,180,34,343,1177
PP,1-200,3,794,826,92,9,1721
PP,1-50,15,590,98,39,410,1137
PP,1-50,3,832,729,105,24,1690
PP,control,15,699,141,25,386,1251
PP,control,3,1105,919,100,12,2136
PS,1-10,15,501,117,26,720,1364
PS,1-10,3,867,505,85,33,1490
PS,1-20,15,553,193,38,502,1286
PS,1-20,3,903,565,96,19,1583
PS,1-200,15,596,176,50,549,1371
PS,1-200,3,717,576,76,38,1407
PS,1-50,15,596,266,51,486,1399
PS,1-50,3,733,593,77,33,1436
PS,control,15,690,291,47,344,1372
PS,control,3,754,585,60,20,1419
